year,org,ein,class,group_id_guess,name,new_group_id,remove,final_id
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_27,REED E PHILLIPS,,,04-2121305_27
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_27,REED E PHILLIPS,,,04-2121305_27
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_27,REED E PHILLIPS,,,04-2121305_27
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_27,REED E PHILLIPS,,,04-2121305_27
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_27,REED E PHILLIPS,,,04-2121305_27
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_28,STEPHEN J ADAMS,,,04-2121305_28
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_28,STEPHEN J ADAMS,,,04-2121305_28
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_28,STEPHEN J ADAMS,,,04-2121305_28
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_28,STEPHEN J ADAMS,,,04-2121305_28
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_28,STEPHEN J ADAMS,,,04-2121305_28
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_29,ROSALIND J GREENSTEIN,,,04-2121305_29
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_29,ROSALIND J GREENSTEIN,,,04-2121305_29
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_29,ROSALIND J GREENSTEIN,,,04-2121305_29
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_3,GREGORY M VAN KIPNIS,,,04-2121305_3
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_3,GREGORY M VAN KIPNIS,,,04-2121305_3
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_3,GREGORY M VAN KIPNIS,,,04-2121305_3
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_3,GREGORY M VAN KIPNIS,,,04-2121305_3
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_3,GREGORY M VAN KIPNIS,,,04-2121305_3
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_30,J ERIC SMITH,,,04-2121305_30
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_30,J ERIC SMITH,,,04-2121305_30
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_30,J ERIC SMITH,,,04-2121305_30
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_30,J ERIC SMITH,,,04-2121305_30
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_30,J ERIC SMITH,,,04-2121305_30
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_30,J ERIC SMITH,,,04-2121305_30
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_31,ROY E BOUFFARD,,,04-2121305_31
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_31,ROY E BOUFFARD,,,04-2121305_31
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_31,ROY E BOUFFARD,,,04-2121305_31
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
